date,mean_date_no,original_date_no,date_no,sample_id,fish_prey_stage,sample_mg_dm,sample_mg_dm01,site,fish_species,prey_stage
2019-06-14,31.691419141914192,11,-20.691419141914192,52,Micropterus salmoides_a,0,0.01,gunderson,Micropterus salmoides,a
2019-06-14,31.691419141914192,11,-20.691419141914192,52,Micropterus salmoides_l,0,0.01,gunderson,Micropterus salmoides,l
2019-06-14,31.691419141914192,11,-20.691419141914192,52,Micropterus salmoides_p,1.16,1.17,gunderson,Micropterus salmoides,p
2019-06-14,31.691419141914192,11,-20.691419141914192,53,Esox lucius_a,0,0.01,gunderson,Esox lucius,a
2019-06-14,31.691419141914192,11,-20.691419141914192,53,Esox lucius_l,0.641579774514346,0.651579774514346,gunderson,Esox lucius,l
2019-06-14,31.691419141914192,11,-20.691419141914192,53,Esox lucius_p,0,0.01,gunderson,Esox lucius,p
2019-06-13,31.691419141914192,10,-21.691419141914192,54,Etheostoma nigrum_a,0,0.01,little bridge,Etheostoma nigrum,a
2019-06-13,31.691419141914192,10,-21.691419141914192,54,Etheostoma nigrum_l,56.45902015726245,56.46902015726245,little bridge,Etheostoma nigrum,l
2019-06-13,31.691419141914192,10,-21.691419141914192,54,Etheostoma nigrum_p,0,0.01,little bridge,Etheostoma nigrum,p
2019-06-14,31.691419141914192,11,-20.691419141914192,55,Lepomis macrochirus_a,0,0.01,gunderson,Lepomis macrochirus,a
2019-06-14,31.691419141914192,11,-20.691419141914192,55,Lepomis macrochirus_l,0,0.01,gunderson,Lepomis macrochirus,l
2019-06-14,31.691419141914192,11,-20.691419141914192,55,Lepomis macrochirus_p,0,0.01,gunderson,Lepomis macrochirus,p
2019-06-14,31.691419141914192,11,-20.691419141914192,56,Lepomis macrochirus_a,1.9062740973599808,1.9162740973599808,gunderson,Lepomis macrochirus,a
2019-06-14,31.691419141914192,11,-20.691419141914192,56,Lepomis macrochirus_l,1.283159549028692,1.293159549028692,gunderson,Lepomis macrochirus,l
2019-06-14,31.691419141914192,11,-20.691419141914192,56,Lepomis macrochirus_p,0,0.01,gunderson,Lepomis macrochirus,p
2019-06-13,31.691419141914192,10,-21.691419141914192,57,Cyprinella spiloptera_a,0,0.01,burbank,Cyprinella spiloptera,a
2019-06-13,31.691419141914192,10,-21.691419141914192,57,Cyprinella spiloptera_l,3.849478647086076,3.8594786470860756,burbank,Cyprinella spiloptera,l
